time,rcp2013,rcp45,rcp45_nointer,rcp45_nolife,rcp85,rcp85_nointer,rcp85_nolife,res_2013,res_rcp45,res_rcp45_nointer,res_rcp45_nolife,res_rcp85,res_rcp85_nointer,res_rcp85_nolife,,,,res_2013,res_rcp45,res_rcp45_nointer,res_rcp45_nolife,res_rcp85,res_rcp85_nointer,res_rcp85_nolife
65.8,0.999933765,0.99179897,0.999992602,0.999992473,0.999987763,0.999990128,0.999973325,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
65.9,0.999935027,0.991802607,0.999992635,0.999992484,0.999987817,0.999990176,0.999973452,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
66,0.999936269,0.991805874,0.999992667,0.999992495,0.99998787,0.999990223,0.999973578,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
66.1,0.999937489,0.991808776,0.9999927,0.999992507,0.999987924,0.999990271,0.999973703,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
66.2,0.999938687,0.991811319,0.999992732,0.999992518,0.999987977,0.999990318,0.999973826,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
66.3,0.999939861,0.991813509,0.999992764,0.999992529,0.99998803,0.999990365,0.999973948,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
66.4,0.999941011,0.991815352,0.999992796,0.999992541,0.999988083,0.999990411,0.99997407,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
66.5,0.999942137,0.991816853,0.999992828,0.999992552,0.999988135,0.999990457,0.99997419,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
66.6,0.999943236,0.99181802,0.99999286,0.999992563,0.999988187,0.999990503,0.999974309,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
66.7,0.99994431,0.991818858,0.999992891,0.999992575,0.999988239,0.999990549,0.999974427,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
66.8,0.999945357,0.991819375,0.999992923,0.999992586,0.999988291,0.999990595,0.999974543,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
66.9,0.999946376,0.991819577,0.999992954,0.999992597,0.999988342,0.99999064,0.999974659,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
67,0.999947369,0.99181947,0.999992985,0.999992608,0.999988393,0.999990685,0.999974774,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
