time,sp,w,value,scenario
100,Ammodytes dubius,0.0192,1362923271.8494434,rcp2013
100,Anchoa mitchilli,0.0192,570973.1470872837,rcp2013
100,Clupea harengus,0.0192,130917631768.21065,rcp2013
100,Gadus morhua,0.0192,34449941.08426309,rcp2013
100,Glyptocephalus cynoglossus,0.0192,2680445758.247168,rcp2013
100,Limanda ferruginea,0.0192,3814137318.696063,rcp2013
100,Lophius americanus,0.0192,438615.6584928567,rcp2013
100,Melanogrammus aeglefinus,0.0192,339333155.0908186,rcp2013
100,Merluccius bilinearis,0.0192,438152172.67941165,rcp2013
100,Myoxocephalus octodecemspinosus,0.0192,6793378.321356427,rcp2013
100,Paralichthys dentatus,0.0192,19784166.72261044,rcp2013
100,Pseudopleuronectes americanus,0.0192,51452592.28003484,rcp2013
100,Rostroraja eglanteria,0.0192,27351.326646574526,rcp2013
100,Squalus acanthias,0.0192,8910119834.521387,rcp2013
100,Urophycis chuss,0.0192,3220266.8101096195,rcp2013
100,Urophycis tenuis,0.0192,11382852.33923536,rcp2013
100,Zoarces americanus,0.0192,314819539.4160127,rcp2013
100,Alosa pseudoharengus,0.0228,46622440.950960524,rcp2013
100,Alosa sapidissima,0.0228,9064629.580429703,rcp2013
100,Ammodytes dubius,0.0228,1192675101.3239539,rcp2013
100,Anchoa mitchilli,0.0228,508121.40091177466,rcp2013
100,Clupea harengus,0.0228,115569650269.80075,rcp2013
100,Gadus morhua,0.0228,30640527.79576552,rcp2013
100,Glyptocephalus cynoglossus,0.0228,2360140715.891064,rcp2013
100,Limanda ferruginea,0.0228,3369746709.319446,rcp2013
100,Lophius americanus,0.0228,389422.51383528596,rcp2013
100,Melanogrammus aeglefinus,0.0228,300705847.54264945,rcp2013
100,Merluccius bilinearis,0.0228,388541600.1944702,rcp2013
100,Myoxocephalus octodecemspinosus,0.0228,6030845.5472810315,rcp2013
100,Paralichthys dentatus,0.0228,17635292.24798282,rcp2013
100,Pseudopleuronectes americanus,0.0228,45693974.359751485,rcp2013
100,Rostroraja eglanteria,0.0228,24376.943423824316,rcp2013
100,Squalus acanthias,0.0228,7852845784.002194,rcp2013
100,Urophycis chuss,0.0228,2858217.709170883,rcp2013
100,Urophycis tenuis,0.0228,10106183.174416298,rcp2013
100,Zoarces americanus,0.0228,277364177.3453621,rcp2013
100,Alosa pseudoharengus,0.0271,41390273.50768893,rcp2013
100,Alosa sapidissima,0.0271,8042959.543947225,rcp2013
100,Ammodytes dubius,0.0271,1043165794.1619014,rcp2013
100,Anchoa mitchilli,0.0271,452106.07102354284,rcp2013
100,Clupea harengus,0.0271,101995884506.98306,rcp2013
100,Gadus morhua,0.0271,27250313.64904991,rcp2013
100,Glyptocephalus cynoglossus,0.0271,2077378165.2381613,rcp2013
100,Limanda ferruginea,0.0271,2976327532.2286687,rcp2013
100,Lophius americanus,0.0271,345716.0445653407,rcp2013
100,Melanogrammus aeglefinus,0.0271,266437918.93915954,rcp2013
100,Merluccius bilinearis,0.0271,344501234.1777574,rcp2013
100,Myoxocephalus octodecemspinosus,0.0271,5353279.981656674,rcp2013
100,Paralichthys dentatus,0.0271,15718510.26683182,rcp2013
